tmc_code,measurement_tstamp,speed,reference_speed,date,tod_min,clock_min,timestamp,period,wall_clock
110-04178,2025-10-08 20:45:00,63.18,62.0,2025-10-08,1245,1245,2025-10-08 20:45:00-04:00,NT,20:45
110-04178,2025-10-08 20:50:00,60.0,62.0,2025-10-08,1250,1250,2025-10-08 20:50:00-04:00,NT,20:50
110-04178,2025-10-08 20:55:00,61.18,62.0,2025-10-08,1255,1255,2025-10-08 20:55:00-04:00,NT,20:55
110-04178,2025-10-08 21:00:00,61.6,62.0,2025-10-08,1260,1260,2025-10-08 21:00:00-04:00,NT,21:00
110-04178,2025-10-08 21:05:00,61.59,62.0,2025-10-08,1265,1265,2025-10-08 21:05:00-04:00,NT,21:05
110-04178,2025-10-08 21:10:00,65.98,62.0,2025-10-08,1270,1270,2025-10-08 21:10:00-04:00,NT,21:10
110-04178,2025-10-08 21:15:00,65.57,62.0,2025-10-08,1275,1275,2025-10-08 21:15:00-04:00,NT,21:15
110-04178,2025-10-08 21:20:00,64.6,62.0,2025-10-08,1280,1280,2025-10-08 21:20:00-04:00,NT,21:20
110-04178,2025-10-08 21:25:00,65.2,62.0,2025-10-08,1285,1285,2025-10-08 21:25:00-04:00,NT,21:25
110-04178,2025-10-08 21:30:00,65.0,62.0,2025-10-08,1290,1290,2025-10-08 21:30:00-04:00,NT,21:30
110-04178,2025-10-08 21:35:00,65.2,62.0,2025-10-08,1295,1295,2025-10-08 21:35:00-04:00,NT,21:35
110-04178,2025-10-08 21:40:00,63.6,62.0,2025-10-08,1300,1300,2025-10-08 21:40:00-04:00,NT,21:40
110-04178,2025-10-08 21:45:00,64.79,62.0,2025-10-08,1305,1305,2025-10-08 21:45:00-04:00,NT,21:45
110-04178,2025-10-08 21:50:00,66.0,62.0,2025-10-08,1310,1310,2025-10-08 21:50:00-04:00,NT,21:50
110-04178,2025-10-08 21:55:00,66.39,62.0,2025-10-08,1315,1315,2025-10-08 21:55:00-04:00,NT,21:55
110-04178,2025-10-08 22:00:00,65.96,62.0,2025-10-08,1320,1320,2025-10-08 22:00:00-04:00,NT,22:00
110-04178,2025-10-08 22:05:00,66.59,62.0,2025-10-08,1325,1325,2025-10-08 22:05:00-04:00,NT,22:05
